"Pectobacterium parmentieri","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium parmentieri","strain"
"Pectobacterium polaris","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium polaris","strain"
"Pectobacterium wasabiae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium wasabiae","strain"
"Pectobacterium wasabiae CFBP 3304","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium wasabiae","Pectobacterium wasabiae CFBP 3304"
"Pediococcus claussenii","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus claussenii","strain"
"Pediococcus pentosaceus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus pentosaceus","strain"
"Pedobacter arcticus A12","Bacteria","FCB group","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter arcticus","Pedobacter arcticus A12"
"Pedobacter cryophilus","Bacteria","FCB group","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter cryophilus","strain"
"Pedobacter glucosidilyticus","Bacteria","FCB group","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter glucosidilyticus","strain"
"Pedobacter pituitosus","Bacteria","FCB group","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter pituitosus","strain"
"Pelagibacterium lixinzhangensis","Bacteria","clade","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Pelagibacterium","Pelagibacterium lixinzhangensis","strain"
"Pelorhabdus rhamnosifermentans","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Pelorhabdus","Pelorhabdus rhamnosifermentans","strain"
"Pelosinus defluvii","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Pelosinus","Pelosinus defluvii","strain"
"Pelosinus fermentans DSM 17108","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Pelosinus","Pelosinus fermentans","Pelosinus fermentans DSM 17108"
"Pelosinus propionicus","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Pelosinus","Pelosinus propionicus","strain"
"Pelosinus propionicus DSM 13327","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Pelosinus","Pelosinus propionicus","Pelosinus propionicus DSM 13327"
"Pelotomaculum schinkii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfotomaculaceae","Pelotomaculum","Pelotomaculum schinkii","strain"
"Pelotomaculum terephthalicicum JT","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfotomaculaceae","Pelotomaculum","Pelotomaculum terephthalicicum","Pelotomaculum terephthalicicum JT"
"Pelotomaculum thermopropionicum SI","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfotomaculaceae","Pelotomaculum","Pelotomaculum thermopropionicum","Pelotomaculum thermopropionicum SI"
"Peptacetobacter hiranonis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptacetobacter","Peptacetobacter hiranonis","strain"
"Peptoclostridium acidaminophilum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptoclostridium","Peptoclostridium acidaminophilum","strain"
"Peptoclostridium litorale","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptoclostridium","Peptoclostridium litorale","strain"
"Peptococcus niger","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptococcaceae","Peptococcus","Peptococcus niger","strain"
"Peptococcus simiae","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptococcaceae","Peptococcus","Peptococcus simiae","strain"
"Peptostreptococcus anaerobius","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptostreptococcus","Peptostreptococcus anaerobius","strain"
"Peptostreptococcus canis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptostreptococcus","Peptostreptococcus canis","strain"
"Peptostreptococcus russellii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptostreptococcus","Peptostreptococcus russellii","strain"
"Peptostreptococcus stomatis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptostreptococcus","Peptostreptococcus stomatis","strain"
"Peteryoungia desertarenae","Bacteria","clade","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Peteryoungia","Peteryoungia desertarenae","strain"
"Petrocella atlantisensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Vallitaleaceae","Petrocella","Petrocella atlantisensis","strain"
"Phascolarctobacterium faecium","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium faecium","strain"
"Phascolarctobacterium succinatutens","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium succinatutens","strain"
"Phaseolibacter flectens ATCC 12775","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Phaseolibacter","Phaseolibacter flectens","Phaseolibacter flectens ATCC 12775"
"Phocaeicola coprophilus","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola coprophilus","strain"
"Phocaeicola dorei","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola dorei","strain"
"Phocaeicola massiliensis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola massiliensis","strain"
"Phocaeicola paurosaccharolyticus","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola paurosaccharolyticus","strain"
"Phocaeicola paurosaccharolyticus JCM 15092","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola paurosaccharolyticus","Phocaeicola paurosaccharolyticus JCM 15092"
"Phocaeicola sartorii JCM 17136 = DSM 21941","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola sartorii","Phocaeicola sartorii JCM 17136 = DSM 21941"
"Phocaeicola vulgatus","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","strain"
"Phocaeicola vulgatus ATCC 8482","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola vulgatus ATCC 8482"
"Phocea massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Merdimmobilis","Merdimmobilis hominis","strain"
"Photobacterium carnosum","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Photobacterium carnosum","strain"
"Photobacterium frigidiphilum","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Photobacterium frigidiphilum","strain"
"Photobacterium phosphoreum","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Photobacterium phosphoreum","strain"
"Photorhabdus temperata","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Photorhabdus","Photorhabdus temperata","strain"
"Phyllobacterium myrsinacearum","Bacteria","clade","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Phyllobacterium","Phyllobacterium myrsinacearum","strain"
"Phytobacter diazotrophicus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Phytobacter","Phytobacter diazotrophicus","strain"
"Phytobacter ursingii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Phytobacter","Phytobacter ursingii","strain"
"Pisciglobus halotolerans","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Pisciglobus","Pisciglobus halotolerans","strain"
"Plesiomonas shigelloides","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Plesiomonas","Plesiomonas shigelloides","strain"
"Pluralibacter gergoviae ATCC 33028 = NBRC 105706","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pluralibacter","Pluralibacter gergoviae","Pluralibacter gergoviae ATCC 33028 = NBRC 105706"
"Pluralibacter pyrinus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pluralibacter","Pluralibacter pyrinus","strain"
"Polygonibacillus indicireducens","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Polygonibacillus","Polygonibacillus indicireducens","strain"
"Pragia fontium","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Budviciaceae","Pragia","Pragia fontium","strain"
"Prolixibacter bellariivorans","Bacteria","FCB group","Bacteroidota","Bacteroidia","Marinilabiliales","Prolixibacteraceae","Prolixibacter","Prolixibacter bellariivorans","strain"
"Prolixibacter denitrificans","Bacteria","FCB group","Bacteroidota","Bacteroidia","Marinilabiliales","Prolixibacteraceae","Prolixibacter","Prolixibacter denitrificans","strain"
"Promicromonospora soli","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Micrococcales","Promicromonosporaceae","Promicromonospora","Promicromonospora soli","strain"
"Promicromonospora thailandica","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Micrococcales","Promicromonosporaceae","Promicromonospora","Promicromonospora thailandica","strain"
"Promicromonospora viridis","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Micrococcales","Promicromonosporaceae","Promicromonospora","Promicromonospora viridis","strain"
"Propionispira arboris","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Propionispira","Propionispira arboris","strain"
"Propionispira arcuata","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Propionispira","Propionispira arcuata","strain"
"Propionispira paucivorans","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Propionispira","Propionispira paucivorans","strain"
"Propionispira raffinosivorans","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Propionispira","Propionispira raffinosivorans","strain"
"Propionispora hippei","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Propionispora","Propionispora hippei","strain"
"Propionispora vibrioides","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Propionispora","Propionispora vibrioides","strain"
"Proteiniborus ethanoligenes","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","family","Proteiniborus","Proteiniborus ethanoligenes","strain"
"Proteiniborus indolifex","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","family","Proteiniborus","Proteiniborus indolifex","strain"
"Proteocatella sphenisci","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Proteocatella","Proteocatella sphenisci","strain"
"Proteus hauseri","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","Proteus hauseri","strain"
"Proteus mirabilis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","Proteus mirabilis","strain"
"Proteus myxofaciens ATCC 19692","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","Proteus myxofaciens","Proteus myxofaciens ATCC 19692"
"Providencia alcalifaciens","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia alcalifaciens","strain"
"Providencia alcalifaciens DSM 30120","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia alcalifaciens","Providencia alcalifaciens DSM 30120"
"Providencia burhodogranariea DSM 19968","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia burhodogranariea","Providencia burhodogranariea DSM 19968"
"Providencia heimbachae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia heimbachae","strain"
"Providencia rettgeri","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia rettgeri","strain"
"Providencia rustigianii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia rustigianii","strain"
"Providencia sneebia DSM 19967","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia sneebia","Providencia sneebia DSM 19967"
"Providencia stuartii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia stuartii","strain"
"Providencia thailandensis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia thailandensis","strain"
"Providencia vermicola","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia vermicola","strain"
"Pseudescherichia vulneris","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia","Pseudescherichia vulneris","strain"
"Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Pseudobacteroides","Pseudobacteroides cellulosolvens","Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933"
"Pseudobutyrivibrio ruminis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Pseudobutyrivibrio","Pseudobutyrivibrio ruminis","strain"
"Pseudobutyrivibrio xylanivorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Pseudobutyrivibrio","Pseudobutyrivibrio xylanivorans","strain"
"Pseudochelatococcus lubricantis","Bacteria","clade","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Pseudochelatococcus","Pseudochelatococcus lubricantis","strain"
"Pseudocitrobacter faecalis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudocitrobacter","Pseudocitrobacter faecalis","strain"
"Pseudoclostridium thermosuccinogenes","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoclostridium","Pseudoclostridium thermosuccinogenes","strain"
"Pseudoflavonifractor capillosus ATCC 29799","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoflavonifractor","Pseudoflavonifractor capillosus","Pseudoflavonifractor capillosus ATCC 29799"
